,alias,status,conid,symbol,sec_type,exchange,currency,local_symbol,primary_exchange,trading_class,sec_id_type,sec_id,description,issuer_id
209,QUALCOMM INC,UNCONFIRMED,-1,,BOND,,,,,,,,QUALCOMM Inc,e1395278
210,QUALYS INC,UNCONFIRMED,114814349,QLYS,STK,NASDAQ,USD,,NASDAQ,,,,QUALYS INC,
211,QUALYS INC,UNCONFIRMED,382529121,3L7A,STK,FWB2,EUR,,FWB2,,,,QUALYS INC,
212,QUALYS INC,UNCONFIRMED,467298327,QLYS,STK,MEXI,MXN,,MEXI,,,,QUALYS INC,
213,RAYMOND JAMES FINANCIAL INC,UNCONFIRMED,11656,RJF,STK,NYSE,USD,,NYSE,,,,RAYMOND JAMES FINANCIAL INC,
214,RAYMOND JAMES FINANCIAL INC,UNCONFIRMED,103913151,RJD CL,STK,VALUE,USD,,VALUE,,,,RAYMOND JAMES FINANCIAL INC,
215,RAYMOND JAMES FINANCIAL INC,UNCONFIRMED,82272733,RJF1,STK,FWB2,EUR,,FWB2,,,,RAYMOND JAMES FINANCIAL INC,
216,RAYMOND JAMES FINANCIAL INC,UNCONFIRMED,306777551,RJF,STK,MEXI,MXN,,MEXI,,,,RAYMOND JAMES FINANCIAL INC,
217,RAYMOND JAMES FINANCIAL INC,UNCONFIRMED,-1,,BOND,,,,,,,,Raymond James Financial Inc,e1409029
218,RAMBUS INC,UNCONFIRMED,4031477,RMBS,STK,NASDAQ,USD,,NASDAQ,,,,RAMBUS INC,
219,RAMBUS INC,UNCONFIRMED,10706897,RMB,STK,FWB,EUR,,FWB,,,,RAMBUS INC,
220,RAMBUS INC,UNCONFIRMED,615904919,RMBS,STK,MEXI,MXN,,MEXI,,,,RAMBUS INC,
221,GIBRALTAR INDUSTRIES INC,UNCONFIRMED,273915,ROCK,STK,NASDAQ,USD,,NASDAQ,,,,GIBRALTAR INDUSTRIES INC,
222,GIBRALTAR INDUSTRIES INC,UNCONFIRMED,603528826,GI2,STK,FWB2,EUR,,FWB2,,,,GIBRALTAR INDUSTRIES INC,
223,GIBRALTAR INDUSTRIES INC,UNCONFIRMED,-1,,BOND,,,,,,,,Gibraltar Industries Inc,e1395050
224,RS GROUP PLC,UNCONFIRMED,12103838,RS1,STK,LSE,GBP,,LSE,,,,RS GROUP PLC,
225,RS GROUP PLC,UNCONFIRMED,603517216,ECN1,STK,FWB2,EUR,,FWB2,,,,RS GROUP PLC,
226,SAIA INC,UNCONFIRMED,40078069,SAIA,STK,NASDAQ,USD,,NASDAQ,,,,SAIA INC,
227,SAIA INC,UNCONFIRMED,603526962,SQR,STK,FWB2,EUR,,FWB2,,,,SAIA INC,
228,SUESS MICROTEC SE,UNCONFIRMED,94160337,SMHN,STK,IBIS,EUR,,IBIS,,,,SUESS MICROTEC SE,
229,SUESS MICROTEC SE,UNCONFIRMED,289170580,SMHN,STK,EBS,CHF,,EBS,,,,SUESS MICROTEC SE,
230,SNAP-ON INC,UNCONFIRMED,12259,SNA,STK,NYSE,USD,,NYSE,,,,SNAP-ON INC,
231,SNAP-ON INC,UNCONFIRMED,80702242,SPU,STK,FWB,EUR,,FWB,,,,SNAP-ON INC,
232,SNAP-ON INC,UNCONFIRMED,-1,,BOND,,,,,,,,Snap-on Inc,e1409039
233,SYNOPSYS INC,UNCONFIRMED,274499,SNPS,STK,NASDAQ,USD,,NASDAQ,,,,SYNOPSYS INC,
234,SYNOPSYS INC,UNCONFIRMED,15254349,SYP,STK,SWB,EUR,,SWB,,,,SYNOPSYS INC,
235,SYNOPSYS INC,UNCONFIRMED,366267261,SNPS,STK,MEXI,MXN,,MEXI,,,,SYNOPSYS INC,
236,STMICROELECTRONICS NV,UNCONFIRMED,29612246,STMPA,STK,SBF,EUR,,SBF,,,,STMICROELECTRONICS NV,
237,STMICROELECTRONICS NV,UNCONFIRMED,12460,STM,STK,NYSE,USD,,NYSE,,,,STMICROELECTRONICS NV-NY SHS,
238,STMICROELECTRONICS NV,UNCONFIRMED,536256320,STM1N,STK,MEXI,MXN,,MEXI,,,,STMICROELECTRONICS NV,
239,STMICROELECTRONICS NV,UNCONFIRMED,565372533,SGMR,STK,FWB,EUR,,FWB,,,,STMICROELECTRONICS NV-NY SHS,
240,SKYWORKS SOLUTIONS INC,UNCONFIRMED,4726021,SWKS,STK,NASDAQ,USD,,NASDAQ,,,,SKYWORKS SOLUTIONS INC,
241,SKYWORKS SOLUTIONS INC,UNCONFIRMED,80247889,AWM,STK,FWB,EUR,,FWB,,,,SKYWORKS SOLUTIONS INC,
242,SKYWORKS SOLUTIONS INC,UNCONFIRMED,409743480,SWKS,STK,MEXI,MXN,,MEXI,,,,SKYWORKS SOLUTIONS INC,
243,SKYWORKS SOLUTIONS INC,UNCONFIRMED,-1,,BOND,,,,,,,,Skyworks Solutions Inc,e1395054
244,UFP INDUSTRIES INC,UNCONFIRMED,420845068,UFPI,STK,NASDAQ,USD,,NASDAQ,,,,UFP INDUSTRIES INC,
245,UFP INDUSTRIES INC,UNCONFIRMED,420845074,UF3,STK,FWB2,EUR,,FWB2,,,,UFP INDUSTRIES INC,
246,UNITEDHEALTH GROUP INC,UNCONFIRMED,13272,UNH,STK,NYSE,USD,,NYSE,,,,UNITEDHEALTH GROUP INC,
247,UNITEDHEALTH GROUP INC,UNCONFIRMED,77425401,UNH,STK,FWB,EUR,,FWB,,,,UNITEDHEALTH GROUP INC,
248,UNITEDHEALTH GROUP INC,UNCONFIRMED,116568943,UNH,STK,MEXI,MXN,,MEXI,,,,UNITEDHEALTH GROUP INC,
249,UNITEDHEALTH GROUP INC,UNCONFIRMED,242507042,UNHUSD,STK,VALUE,USD,,VALUE,,,,UNITEDHEALTH GROUP INC,
250,UNITEDHEALTH GROUP INC,UNCONFIRMED,575959888,UNH,STK,AEQLIT,CAD,,AEQLIT,,,,UNITEDHEALTH GROUP INC - CDR,
251,UNITEDHEALTH GROUP INC,UNCONFIRMED,-1,,BOND,,,,,,,,UnitedHealth Group Inc,e1408438
252,UNITED THERAPEUTICS CORP,UNCONFIRMED,6746357,UTHR,STK,NASDAQ,USD,,NASDAQ,,,,UNITED THERAPEUTICS CORP,
253,UNITED THERAPEUTICS CORP,UNCONFIRMED,81540710,UTH,STK,FWB2,EUR,,FWB2,,,,UNITED THERAPEUTICS CORP,
254,UNITED THERAPEUTICS CORP,UNCONFIRMED,685385765,UTHR,STK,MEXI,MXN,,MEXI,,,,UNITED THERAPEUTICS CORP,
255,VERBUND AG,UNCONFIRMED,3306518,VER,STK,VSE,EUR,,VSE,,,,VERBUND AG,
256,VERBUND AG,UNCONFIRMED,76971593,OEZVY,STK,PINK,USD,,PINK,,,,VERBUND AG-SPONS ADR,
257,VERBUND AG,UNCONFIRMED,622207748,VER,STK,PRA,CZK,,PRA,,,,VERBUND AG,
258,VERBUND AG,UNCONFIRMED,-1,,BOND,,,,,,,,Verbund AG,e1428191
259,VALERO ENERGY CORP,UNCONFIRMED,13497,VLO,STK,NYSE,USD,,NYSE,,,,VALERO ENERGY CORP,
260,VALERO ENERGY CORP,UNCONFIRMED,75098576,V1L,STK,FWB,EUR,,FWB,,,,VALERO ENERGY CORP,
261,VALERO ENERGY CORP,UNCONFIRMED,-1,,BOND,,,,,,,,Valero Energy Corp,e1408268
262,VERTEX PHARMACEUTICALS INC,UNCONFIRMED,275850,VRTX,STK,NASDAQ,USD,,NASDAQ,,,,VERTEX PHARMACEUTICALS INC,
263,VERTEX PHARMACEUTICALS INC,UNCONFIRMED,32596709,VX1,STK,FWB,EUR,,FWB,,,,VERTEX PHARMACEUTICALS INC,
264,VERTEX PHARMACEUTICALS INC,UNCONFIRMED,129330685,VRTX,STK,MEXI,MXN,,MEXI,,,,VERTEX PHARMACEUTICALS INC,
265,ENCORE WIRE CORP,UNCONFIRMED,276083,WIRE,STK,NASDAQ,USD,,NASDAQ,,,,ENCORE WIRE CORP,
266,ENCORE WIRE CORP,UNCONFIRMED,603522826,EW3,STK,FWB2,EUR,,FWB2,,,,ENCORE WIRE CORP,
267,WESTLAKE CORP,UNCONFIRMED,30351217,WLK,STK,NYSE,USD,,NYSE,,,,WESTLAKE CORP,
268,WESTLAKE CORP,UNCONFIRMED,81702794,UEO,STK,FWB2,EUR,,FWB2,,,,WESTLAKE CORP,
269,WESTLAKE CORP,UNCONFIRMED,-1,,BOND,,,,,,,,Westlake Corp,e1409600
270,WILLIAMS-SONOMA INC,UNCONFIRMED,5019164,WSM,STK,NYSE,USD,,NYSE,,,,WILLIAMS-SONOMA INC,
271,WILLIAMS-SONOMA INC,UNCONFIRMED,81430644,WM1,STK,FWB2,EUR,,FWB2,,,,WILLIAMS-SONOMA INC,
272,WILLIAMS-SONOMA INC,UNCONFIRMED,290129299,WSM,STK,MEXI,MXN,,MEXI,,,,WILLIAMS-SONOMA INC,
273,WATSCO INC,UNCONFIRMED,13904,WSO,STK,NYSE,USD,,NYSE,,,,WATSCO INC,
274,WATSCO INC,UNCONFIRMED,2016873,WSO B,STK,NYSE,USD,,NYSE,,,,WATSCO INC -CL B,
275,WATSCO INC,UNCONFIRMED,603524529,WC30,STK,FWB2,EUR,,FWB2,,,,WATSCO INC -CL B,
276,WATSCO INC,UNCONFIRMED,603531090,WC3,STK,FWB2,EUR,,FWB2,,,,WATSCO INC,
277,YOUGOV PLC,UNCONFIRMED,48889360,YOU,STK,LSE,GBP,,LSE,,,,YOUGOV PLC,
278,YOUGOV PLC,UNCONFIRMED,603522386,Y1G,STK,FWB2,EUR,,FWB2,,,,YOUGOV PLC,
