,alias,status,conid,symbol,sec_type,exchange,currency,local_symbol,primary_exchange,trading_class,sec_id_type,sec_id,description,issuer_id
47,AMERIPRISE FINANCIAL INC,UNCONFIRMED,-1,,BOND,,,,,,,,Ameriprise Financial Inc,e1411211
48,ARCBEST CORP,UNCONFIRMED,150304976,ARCB,STK,NASDAQ,USD,,NASDAQ,,,,ARCBEST CORP,
49,ARCBEST CORP,UNCONFIRMED,150304974,AQY,STK,FWB2,EUR,,FWB2,,,,ARCBEST CORP,
50,ASML HOLDING NV,UNCONFIRMED,117589399,ASML,STK,AEB,EUR,,AEB,,,,ASML HOLDING NV,
51,ASML HOLDING NV,UNCONFIRMED,117902840,ASML,STK,NASDAQ,USD,,NASDAQ,,,,ASML HOLDING NV-NY REG SHS,
52,ASML HOLDING NV,UNCONFIRMED,192033571,ASMLN,STK,MEXI,MXN,,MEXI,,,,ASML HOLDING NV,
53,ASML HOLDING NV,UNCONFIRMED,634508953,ASMF,STK,FWB,EUR,,FWB,,,,ASML HOLDING NV-NY REG SHS,
54,ASML HOLDING NV,UNCONFIRMED,676118727,ASML1 N,STK,MEXI,MXN,,MEXI,,,,ASML HOLDING NV-NY REG SHS,
55,ASML HOLDING NV,UNCONFIRMED,-1,,BOND,,,,,,,,ASML Holding NV,e1406792
56,BOISE CASCADE CO,UNCONFIRMED,121826487,BCC,STK,NYSE,USD,,NYSE,,,,BOISE CASCADE CO,
57,BOISE CASCADE CO,UNCONFIRMED,603525623,BC0,STK,FWB2,EUR,,FWB2,,,,BOISE CASCADE CO,
58,BOISE CASCADE CO,UNCONFIRMED,-1,,BOND,,,,,,,,Boise Cascade Co,e1562520
59,BOISE CASCADE CO,UNCONFIRMED,-1,,BOND,,,,,,,,Boise Cascade Co,e1416917
60,BOOKING HOLDINGS INC,UNCONFIRMED,308728373,BKNG,STK,NASDAQ,USD,,NASDAQ,,,,BOOKING HOLDINGS INC,
61,BOOKING HOLDINGS INC,UNCONFIRMED,308728353,PCE1,STK,FWB,EUR,,FWB,,,,BOOKING HOLDINGS INC,
62,BOOKING HOLDINGS INC,UNCONFIRMED,308728368,BKNGUSD,STK,EBS,USD,,EBS,,,,BOOKING HOLDINGS INC,
63,BOOKING HOLDINGS INC,UNCONFIRMED,501784913,BKNG,STK,MEXI,MXN,,MEXI,,,,BOOKING HOLDINGS INC,
64,BOOKING HOLDINGS INC,UNCONFIRMED,-1,,BOND,,,,,,,,Booking Holdings Inc,e1393114
65,BLACKSTONE INC,UNCONFIRMED,372834689,BX,STK,NYSE,USD,,NYSE,,,,BLACKSTONE INC,
66,BLACKSTONE INC,UNCONFIRMED,373908865,BBN1,STK,FWB2,EUR,,FWB2,,,,BLACKSTONE INC,
67,BLACKSTONE INC,UNCONFIRMED,-1,,BOND,,,,,,,,Blackstone Inc,e1440153
68,COMPUTACENTER PLC,UNCONFIRMED,183240974,CCC,STK,LSE,GBP,,LSE,,,,COMPUTACENTER PLC,
69,COMPUTACENTER PLC,UNCONFIRMED,603509930,COUD,STK,FWB2,EUR,,FWB2,,,,COMPUTACENTER PLC,
70,CELSIUS HOLDINGS INC,UNCONFIRMED,71364351,CELH,STK,NASDAQ,USD,,NASDAQ,,,,CELSIUS HOLDINGS INC,
71,CELSIUS HOLDINGS INC,UNCONFIRMED,-1,,BOND,,,,,,,,Celsius Holdings Inc,e1430733
72,CENCORA INC,UNCONFIRMED,1714996,COR,STK,NYSE,USD,,NYSE,,,,CENCORA INC,
73,CENCORA INC,UNCONFIRMED,80702423,ABG,STK,FWB,EUR,,FWB,,,,CENCORA INC,
74,CENCORA INC,UNCONFIRMED,616392861,COR,STK,MEXI,MXN,,MEXI,,,,CENCORA INC,
75,CENCORA INC,UNCONFIRMED,-1,,BOND,,,,,,,,Cencora Inc,e1398450
76,COMET HOLDING AG,UNCONFIRMED,273234704,COTN,STK,EBS,CHF,,EBS,,,,COMET HOLDING AG-REG,
77,COMET HOLDING AG,UNCONFIRMED,274245402,EZP1,STK,FWB,EUR,,FWB,,,,COMET HOLDING AG-REG,
78,COMET HOLDING AG,UNCONFIRMED,-1,,BOND,,,,,,,,Comet Holding AG,e1353159
79,DECKERS OUTDOOR CORP,UNCONFIRMED,268376,DECK,STK,NYSE,USD,,NYSE,,,,DECKERS OUTDOOR CORP,
80,DECKERS OUTDOOR CORP,UNCONFIRMED,80844511,DO2,STK,FWB,EUR,,FWB,,,,DECKERS OUTDOOR CORP,
81,DR HORTON INC,UNCONFIRMED,268627,DHI,STK,NYSE,USD,,NYSE,,,,DR HORTON INC,
82,DR HORTON INC,UNCONFIRMED,80896809,HO2,STK,FWB2,EUR,,FWB2,,,,DR HORTON INC,
83,DR HORTON INC,UNCONFIRMED,357954274,DHI,STK,MEXI,MXN,,MEXI,,,,DR HORTON INC,
84,DR HORTON INC,UNCONFIRMED,-1,,BOND,,,,,,,,DR Horton Inc,e1408997
85,ELMOS SEMICONDUCTOR SE,UNCONFIRMED,13636313,ELG,STK,IBIS,EUR,,IBIS,,,,ELMOS SEMICONDUCTOR SE,
86,ELMOS SEMICONDUCTOR SE,UNCONFIRMED,510438652,ELG.TEN1,STK,CORPACT,EUR,,CORPACT,,,,ELMOS SEMICONDUCTOR SE - TENDER 21/09/08,
87,ELMOS SEMICONDUCTOR SE,UNCONFIRMED,510656475,ELG.TEN2,STK,CORPACT,EUR,,CORPACT,,,,ELMOS SEMICONDUCTOR SE - TEN 211231,
88,EMCOR GROUP INC,UNCONFIRMED,6820,EME,STK,NYSE,USD,,NYSE,,,,EMCOR GROUP INC,
89,EMCOR GROUP INC,UNCONFIRMED,80993306,EM4,STK,FWB2,EUR,,FWB2,,,,EMCOR GROUP INC,
90,EVERCORE INC,UNCONFIRMED,40358992,EVR,STK,NYSE,USD,,NYSE,,,,EVERCORE INC - A,
91,EVERCORE INC,UNCONFIRMED,603529735,QGJ,STK,FWB2,EUR,,FWB2,,,,EVERCORE INC - A,
92,COMFORT SYSTEMS USA INC,UNCONFIRMED,6607708,FIX,STK,NYSE,USD,,NYSE,,,,COMFORT SYSTEMS USA INC,
93,COMFORT SYSTEMS USA INC,UNCONFIRMED,84892063,9CF,STK,FWB2,EUR,,FWB2,,,,COMFORT SYSTEMS USA INC,
