Duplicates,alias,description,conid,symbol,sec_type,exchange,currency,local_symbol,primary_exchange,trading_class,sec_id_type,sec_id,issuer_id
,KFORCE INC,KFORCE INC,80343274,ROF,STK,FWB2,EUR,,FWB2,,,,
,KLA CORP,KLA CORP,13064918,KLA,STK,FWB,EUR,,FWB,,,,
,LEM HOLDING SA,LEM HOLDING SA-REG,80868424,LELA,STK,FWB,EUR,,FWB,,,,
,LENNAR CORP,LENNAR CORP-A,75098574,LNN,STK,FWB2,EUR,,FWB2,,,,
,LENNAR CORP,LENNAR CORP - B SHS,603513463,LNN0,STK,FWB2,EUR,,FWB2,,,,
,LAM RESEARCH CORP,LAM RESEARCH CORP,78385714,LAR,STK,FWB,EUR,,FWB,,,,
,LULULEMON ATHLETICA INC,LULULEMON ATHLETICA INC,80844607,33L,STK,FWB,EUR,,FWB,,,,
,MATSON INC,MATSON INC,603526806,68M,STK,FWB2,EUR,,FWB2,,,,
,MCKESSON CORP,MCKESSON CORP,78726320,MCK,STK,FWB2,EUR,,FWB2,,,,
,MELEXIS NV,MELEXIS NV,36794737,MELE,STK,ENEXT.BE,EUR,,ENEXT.BE,,,,
,MOLINA HEALTHCARE INC,MOLINA HEALTHCARE INC,82585377,MHG,STK,FWB2,EUR,,FWB2,,,,
,MONCLER SPA,MONCLER SPA,140054327,MONC,STK,BVME,EUR,,BVME,,,,
,MICROSOFT CORP,MICROSOFT CORP,12178239,MSF,STK,IBIS,EUR,,IBIS,,,,
,MERITAGE HOMES CORP,MERITAGE HOMES CORP,603529157,MEY,STK,FWB2,EUR,,FWB2,,,,
,MYR GROUP INC,MYR GROUP INC/DELAWARE,603521992,MYP,STK,FWB2,EUR,,FWB2,,,,
,NEXT 15 GROUP PLC,NEXT 15 GROUP PLC,603528582,8LS,STK,FWB2,EUR,,FWB2,,,,
,OWENS CORNING,OWENS CORNING,77805189,O5Q,STK,FWB,EUR,,FWB,,,,
,UNIVERSAL DISPLAY CORP,UNIVERSAL DISPLAY CORP,77762053,UVD,STK,FWB2,EUR,,FWB2,,,,
,OLIN CORP,OLIN CORP,86177029,OLN,STK,FWB,EUR,,FWB,,,,
,PARTNERS GROUP HOLDING AG,PARTNERS GROUP HOLDING AG,80702268,P2H,STK,SWB,EUR,,SWB,,,,
,QUALCOMM INC,QUALCOMM INC,13110321,QCI,STK,IBIS,EUR,,IBIS,,,,
,QUALYS INC,QUALYS INC,382529121,3L7A,STK,FWB2,EUR,,FWB2,,,,
,RAYMOND JAMES FINANCIAL INC,RAYMOND JAMES FINANCIAL INC,82272733,RJF1,STK,FWB2,EUR,,FWB2,,,,
,RAMBUS INC,RAMBUS INC,10706897,RMB,STK,FWB,EUR,,FWB,,,,
,GIBRALTAR INDUSTRIES INC,GIBRALTAR INDUSTRIES INC,603528826,GI2,STK,FWB2,EUR,,FWB2,,,,
,RS GROUP PLC,RS GROUP PLC,603517216,ECN1,STK,FWB2,EUR,,FWB2,,,,
,SAIA INC,SAIA INC,603526962,SQR,STK,FWB2,EUR,,FWB2,,,,
,SUESS MICROTEC SE,SUESS MICROTEC SE,94160337,SMHN,STK,IBIS,EUR,,IBIS,,,,
,SNAP-ON INC,SNAP-ON INC,80702242,SPU,STK,FWB,EUR,,FWB,,,,
,SYNOPSYS INC,SYNOPSYS INC,15254349,SYP,STK,SWB,EUR,,SWB,,,,
,SKYWORKS SOLUTIONS INC,SKYWORKS SOLUTIONS INC,80247889,AWM,STK,FWB,EUR,,FWB,,,,
,UFP INDUSTRIES INC,UFP INDUSTRIES INC,420845074,UF3,STK,FWB2,EUR,,FWB2,,,,
,UNITEDHEALTH GROUP INC,UNITEDHEALTH GROUP INC,77425401,UNH,STK,FWB,EUR,,FWB,,,,
,UNITED THERAPEUTICS CORP,UNITED THERAPEUTICS CORP,81540710,UTH,STK,FWB2,EUR,,FWB2,,,,
,VERBUND AG,VERBUND AG,3306518,VER,STK,VSE,EUR,,VSE,,,,
,VALERO ENERGY CORP,VALERO ENERGY CORP,75098576,V1L,STK,FWB,EUR,,FWB,,,,
,VERTEX PHARMACEUTICALS INC,VERTEX PHARMACEUTICALS INC,32596709,VX1,STK,FWB,EUR,,FWB,,,,
,ENCORE WIRE CORP,ENCORE WIRE CORP,603522826,EW3,STK,FWB2,EUR,,FWB2,,,,
,WESTLAKE CORP,WESTLAKE CORP,81702794,UEO,STK,FWB2,EUR,,FWB2,,,,
,WILLIAMS-SONOMA INC,WILLIAMS-SONOMA INC,81430644,WM1,STK,FWB2,EUR,,FWB2,,,,
,YOUGOV PLC,YOUGOV PLC,603522386,Y1G,STK,FWB2,EUR,,FWB2,,,,
