Ticker,Trade,Nombre,Symbol,RawType,Country,IbkType,Currency,Exchange,Exchange2
DHI US Equity,-8,DR Horton Inc,DHI,Equity,US,STK,USD,ISLAND,NYSE
DOX US Equity,47,Amdocs Ltd,DOX,Equity,US,STK,USD,ISLAND,NYSE
EME US Equity,-143,EMCOR Group Inc,EME,Equity,US,STK,USD,ISLAND,NYSE
EVR US Equity,-51,Evercore Inc,EVR,Equity,US,STK,USD,ISLAND,NYSE
FIX US Equity,-582,Comfort Systems USA Inc,FIX,Equity,US,STK,USD,ISLAND,NYSE
GOOGL US Equity,84,Alphabet Inc,GOOGL,Equity,US,STK,USD,ISLAND,NYSE
GWW US Equity,6,WW Grainger Inc,GWW,Equity,US,STK,USD,ISLAND,NYSE
HUBB US Equity,-25,Hubbell Inc,HUBB,Equity,US,STK,USD,ISLAND,NYSE
ITT US Equity,33,ITT Inc,ITT,Equity,US,STK,USD,ISLAND,NYSE
KFRC US Equity,-67,Kforce Inc,KFRC,Equity,US,STK,USD,ISLAND,NYSE
KLAC US Equity,-24,KLA Corp,KLAC,Equity,US,STK,USD,ISLAND,NYSE
LEN US Equity,-25,Lennar Corp,LEN,Equity,US,STK,USD,ISLAND,NYSE
LII US Equity,-24,Lennox International Inc,LII,Equity,US,STK,USD,ISLAND,NYSE
LNG US Equity,900,Cheniere Energy Inc,LNG,Equity,US,STK,USD,ISLAND,NYSE
LRCX US Equity,-14,Lam Research Corp,LRCX,Equity,US,STK,USD,ISLAND,NYSE
LULU US Equity,12,Lululemon Athletica Inc,LULU,Equity,US,STK,USD,ISLAND,NYSE
MATX US Equity,126,Matson Inc,MATX,Equity,US,STK,USD,ISLAND,NYSE
MCK US Equity,-3,McKesson Corp,MCK,Equity,US,STK,USD,ISLAND,NYSE
MOH US Equity,-24,Molina Healthcare Inc,MOH,Equity,US,STK,USD,ISLAND,NYSE
MSFT US Equity,16,Microsoft Corp,MSFT,Equity,US,STK,USD,ISLAND,NYSE
MTH US Equity,-21,Meritage Homes Corp,MTH,Equity,US,STK,USD,ISLAND,NYSE
MYRG US Equity,-29,MYR Group Inc,MYRG,Equity,US,STK,USD,ISLAND,NYSE
NBIX US Equity,1001,Neurocrine Biosciences Inc,NBIX,Equity,US,STK,USD,ISLAND,NYSE
NSSC US Equity,-338,Napco Security Technologies Inc,NSSC,Equity,US,STK,USD,ISLAND,NYSE
OC US Equity,22,Owens Corning,OC,Equity,US,STK,USD,ISLAND,NYSE
OLN US Equity,-166,Olin Corp,OLN,Equity,US,STK,USD,ISLAND,NYSE
PHM US Equity,-33,PulteGroup Inc,PHM,Equity,US,STK,USD,ISLAND,NYSE
QCOM US Equity,-133,QUALCOMM Inc,QCOM,Equity,US,STK,USD,ISLAND,NYSE
QLYS US Equity,111,Qualys Inc,QLYS,Equity,US,STK,USD,ISLAND,NYSE
RJF US Equity,-37,Raymond James Financial Inc,RJF,Equity,US,STK,USD,ISLAND,NYSE
RMBS US Equity,232,Rambus Inc,RMBS,Equity,US,STK,USD,ISLAND,NYSE
ROCK US Equity,217,Gibraltar Industries Inc,ROCK,Equity,US,STK,USD,ISLAND,NYSE
SAIA US Equity,-13,Saia Inc,SAIA,Equity,US,STK,USD,ISLAND,NYSE
SNA US Equity,12,Snap-on Inc,SNA,Equity,US,STK,USD,ISLAND,NYSE
SNPS US Equity,244,Synopsys Inc,SNPS,Equity,US,STK,USD,ISLAND,NYSE
SPNS US Equity,-359,Sapiens International Corp NV,SPNS,Equity,US,STK,USD,ISLAND,NYSE
TREX US Equity,1469,Trex Co Inc,TREX,Equity,US,STK,USD,ISLAND,NYSE
UFPI US Equity,42,UFP Industries Inc,UFPI,Equity,US,STK,USD,ISLAND,NYSE
ULTA US Equity,-266,Ulta Beauty Inc,ULTA,Equity,US,STK,USD,ISLAND,NYSE
UNH US Equity,29,UnitedHealth Group Inc,UNH,Equity,US,STK,USD,ISLAND,NYSE
VLO US Equity,-44,Valero Energy Corp,VLO,Equity,US,STK,USD,ISLAND,NYSE
VRTX US Equity,20,Vertex Pharmaceuticals Inc,VRTX,Equity,US,STK,USD,ISLAND,NYSE
WIRE US Equity,-581,Encore Wire Corp,WIRE,Equity,US,STK,USD,ISLAND,NYSE
WSM US Equity,593,Williams-Sonoma Inc,WSM,Equity,US,STK,USD,ISLAND,NYSE
WSO US Equity,348,Watsco Inc,WSO,Equity,US,STK,USD,ISLAND,NYSE
