Portfolio
Account Number,Account Alias,Financial Instrument Description,Exchange,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
U5921580,C282(IB),YOU,LSE,4295,GBP,8.7607002,37627.21,10.9734762,-9503.87,0.00,No,STK,37627.21
U5921580,C282(IB),WSO,NYSE,330,USD,464.9530029,153434.49,398.9538321,21779.73,0.00,No,STK,153434.49
U5921580,C282(IB),VRTX,NASDAQ,360,USD,401.5400085,144554.40,423.0153378,-7731.12,0.00,No,STK,144554.40
U5921580,C282(IB),VLO,NYSE,799,USD,156.8399964,125315.16,117.2513137,31631.36,0.00,No,STK,125315.16
U5921580,C282(IB),VBK,IBIS,2644,EUR,20.2399997,53514.56,25.7215386,-14493.19,0.00,No,STK,53514.56
U5921580,C282(IB),UTHR,NASDAQ,628,USD,262.3959961,164784.69,232.7521758,18616.32,0.00,No,STK,164784.69
U5921580,C282(IB),UNH,NYSE,322,USD,492.2099915,158491.62,481.2992525,3513.26,0.00,No,STK,158491.62
U5921580,C282(IB),UFPI,NASDAQ,1234,USD,116.6699981,143970.78,111.0675651,6913.40,0.00,No,STK,143970.78
U5921580,C282(IB),TRI,SBF,343,EUR,146.00,50078.00,142.5141009,1195.66,0.00,No,STK,50078.00
U5921580,C282(IB),TPE,IBIS,2897,EUR,18.8600006,54637.42,21.5842055,-7892.02,0.00,No,STK,54637.42
U5921580,C282(IB),STMPA,SBF,1407,EUR,37.2200012,52368.54,37.5763532,-501.39,0.00,No,STK,52368.54
U5921580,C282(IB),SPNS,NASDAQ,4494,USD,30.8472996,138627.76,22.7693548,36302.28,0.00,No,STK,138627.76
U5921580,C282(IB),SNPS,NASDAQ,255,USD,536.9500122,136922.25,563.5317584,-6778.35,0.00,No,STK,136922.25
U5921580,C282(IB),SNA,NYSE,501,USD,270.8840027,135712.89,255.537596,7688.55,0.00,No,STK,135712.89
U5921580,C282(IB),SMHN,IBIS,1461,EUR,44.5912018,65147.75,25.9928151,27172.24,0.00,No,STK,65147.75
U5921580,C282(IB),SAP,IBIS,306,EUR,170.7400055,52246.44,173.14653,-736.40,0.00,No,STK,52246.44
U5921580,C282(IB),ROCK,NASDAQ,1869,USD,71.6900024,133988.61,69.9337364,3282.46,0.00,No,STK,133988.61
