Portfolio
Account Number,Account Alias,Financial Instrument Description,Exchange,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
U5921580,C282(IB),3774,TSEJ,2300,JPY,2217.1999511,5099559.89,2696.5404109,-1102483.06,0.00,No,STK,5099559.89
U5921580,C282(IB),2875,TSEJ,600,JPY,11311.2998047,6786779.88,9991.7562594,791726.13,0.00,No,STK,6786779.88
U5921580,C282(IB),558,SGX,50,SGD,1.2100001,60.50,1.414206,-10.21,0.00,No,STK,60.50

Cash Balances
AUD,,420,AUD
CHF,,4341,CHF
EUR,,46045,EUR
GBP,,-24711,GBP
HKD,,1392,HKD
JPY,,-1180444,JPY
NOK,,2006,NOK
SEK,,6428,SEK
SGD,,594,SGD
USD,,-2229,USD
Total (in EUR),,14038,EUR

